MSZoning,LotArea,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,SaleType,SaleCondition,SalePrice
RL,8450,2Story,7,2003,2003,Gd,PConc,Gd,856,Y,SBrkr,1710,2,3,1,8,0,2,TA,WD,Normal,208500
RL,9600,1Story,6,1976,1976,TA,CBlock,Gd,1262,Y,SBrkr,1262,2,3,1,6,1,2,TA,WD,Normal,181500
RL,11250,2Story,7,2001,2002,Gd,PConc,Gd,920,Y,SBrkr,1786,2,3,1,6,1,2,TA,WD,Normal,223500
RL,9550,2Story,7,1915,1970,TA,BrkTil,TA,756,Y,SBrkr,1717,1,3,1,7,1,3,TA,WD,Abnorml,140000
RL,14260,2Story,8,2000,2000,Gd,PConc,Gd,1145,Y,SBrkr,2198,2,4,1,9,1,3,TA,WD,Normal,250000
RL,14115,1.5Fin,5,1993,1995,TA,Wood,Gd,796,Y,SBrkr,1362,1,1,1,5,0,2,TA,WD,Normal,143000
RL,10084,1Story,8,2004,2005,Gd,PConc,Ex,1686,Y,SBrkr,1694,2,3,1,7,1,2,TA,WD,Normal,307000
RL,10382,2Story,7,1973,1973,TA,CBlock,Gd,1107,Y,SBrkr,2090,2,3,1,7,2,2,TA,WD,Normal,200000
RM,6120,1.5Fin,7,1931,1950,TA,BrkTil,TA,952,Y,FuseF,1774,2,2,2,8,2,2,TA,WD,Abnorml,129900
RL,7420,1.5Unf,5,1939,1950,TA,BrkTil,TA,991,Y,SBrkr,1077,1,2,2,5,2,1,TA,WD,Normal,118000
RL,11200,1Story,5,1965,1965,TA,CBlock,TA,1040,Y,SBrkr,1040,1,3,1,5,0,1,TA,WD,Normal,129500
RL,11924,2Story,9,2005,2006,Ex,PConc,Ex,1175,Y,SBrkr,2324,3,4,1,11,2,3,TA,New,Partial,345000
RL,12968,1Story,5,1962,1962,TA,CBlock,TA,912,Y,SBrkr,912,1,2,1,4,0,1,TA,WD,Normal,144000
RL,10652,1Story,7,2006,2007,Gd,PConc,Gd,1494,Y,SBrkr,1494,2,3,1,7,1,3,TA,New,Partial,279500
RL,10920,1Story,6,1960,1960,TA,CBlock,TA,1253,Y,SBrkr,1253,1,2,1,5,1,1,TA,WD,Normal,157000
RM,6120,1.5Unf,7,1929,2001,TA,BrkTil,TA,832,Y,FuseA,854,1,2,1,5,0,2,TA,WD,Normal,132000
RL,11241,1Story,6,1970,1970,TA,CBlock,TA,1004,Y,SBrkr,1004,1,2,1,5,1,2,TA,WD,Normal,149000
RL,10791,1Story,4,1967,1967,TA,Slab,NA,0,Y,SBrkr,1296,2,2,2,6,0,2,TA,WD,Normal,90000
RL,13695,1Story,5,2004,2004,TA,PConc,TA,1114,Y,SBrkr,1114,1,3,1,6,0,2,TA,WD,Normal,159000
RL,7560,1Story,5,1958,1965,TA,CBlock,TA,1029,Y,SBrkr,1339,1,3,1,6,0,1,TA,COD,Abnorml,139000
RL,14215,2Story,8,2005,2006,Gd,PConc,Ex,1158,Y,SBrkr,2376,3,4,1,9,1,3,TA,New,Partial,325300
RM,7449,1.5Unf,7,1930,1950,TA,PConc,TA,637,Y,FuseF,1108,1,3,1,6,1,1,TA,WD,Normal,139400
RL,9742,1Story,8,2002,2002,Gd,PConc,Gd,1777,Y,SBrkr,1795,2,3,1,7,1,2,TA,WD,Normal,230000
RM,4224,1Story,5,1976,1976,TA,PConc,Gd,1040,Y,SBrkr,1060,1,3,1,6,1,2,TA,WD,Normal,129900
RL,8246,1Story,5,1968,2001,TA,CBlock,TA,1060,Y,SBrkr,1060,1,3,1,6,1,1,TA,WD,Normal,154000
RL,14230,1Story,8,2007,2007,Gd,PConc,Gd,1566,Y,SBrkr,1600,2,3,1,7,1,3,TA,WD,Normal,256300
RL,7200,1Story,5,1951,2000,TA,CBlock,TA,900,Y,SBrkr,900,1,3,1,5,0,2,TA,WD,Normal,134800
RL,11478,1Story,8,2007,2008,Gd,PConc,Ex,1704,Y,SBrkr,1704,2,3,1,7,1,3,TA,WD,Normal,306000
RL,16321,1Story,5,1957,1997,TA,CBlock,TA,1484,Y,SBrkr,1600,1,2,1,6,2,1,TA,WD,Normal,207500
RM,6324,1Story,4,1927,1950,TA,BrkTil,TA,520,N,SBrkr,520,1,1,1,4,0,1,TA,WD,Normal,68500
C (all),8500,2Story,4,1920,1950,TA,BrkTil,TA,649,N,SBrkr,1317,1,3,1,6,0,1,Fa,WD,Normal,40000
RL,8544,1Story,5,1966,2006,TA,CBlock,TA,1228,Y,SBrkr,1228,1,3,1,6,0,1,TA,WD,Normal,149350
RL,11049,1Story,8,2007,2007,Gd,PConc,Ex,1234,Y,SBrkr,1234,2,3,1,7,0,2,TA,WD,Normal,179900
RL,10552,1Story,5,1959,1959,TA,CBlock,TA,1398,Y,SBrkr,1700,1,4,1,6,1,2,TA,WD,Normal,165500
RL,7313,1Story,9,2005,2005,Ex,PConc,Ex,1561,Y,SBrkr,1561,2,2,1,6,1,2,TA,WD,Normal,277500
RL,13418,2Story,8,2004,2005,Gd,PConc,Ex,1117,Y,SBrkr,2452,3,4,1,9,1,3,TA,WD,Normal,309000
RL,10859,1Story,5,1994,1995,TA,PConc,Gd,1097,Y,SBrkr,1097,1,3,1,6,0,2,TA,WD,Normal,145000
RL,8532,1Story,5,1954,1990,TA,CBlock,TA,1297,Y,SBrkr,1297,1,3,1,5,1,2,TA,WD,Normal,153000
RL,7922,1Story,5,1953,2007,TA,CBlock,TA,1057,Y,SBrkr,1057,1,3,1,5,0,1,TA,WD,Abnorml,109000
RL,6040,1Story,4,1955,1955,TA,PConc,NA,0,N,FuseP,1152,2,2,2,6,0,0,NA,WD,AdjLand,82000
RL,8658,1Story,6,1965,1965,TA,CBlock,TA,1088,Y,SBrkr,1324,2,3,1,6,1,2,TA,WD,Abnorml,160000
RL,16905,1Story,5,1959,1959,TA,CBlock,TA,1350,Y,SBrkr,1328,1,2,1,5,2,1,TA,WD,Normal,170000
RL,9180,SFoyer,5,1983,1983,TA,CBlock,Gd,840,Y,SBrkr,884,1,2,1,5,0,2,Gd,WD,Normal,144000
RL,9200,1Story,5,1975,1980,TA,CBlock,Gd,938,Y,SBrkr,938,1,3,1,5,0,1,TA,WD,Normal,130250
RL,7945,1Story,5,1959,1959,TA,CBlock,TA,1150,Y,FuseA,1150,1,3,1,6,0,1,TA,WD,Normal,141000
RL,7658,1Story,9,2005,2005,Ex,PConc,Ex,1752,Y,SBrkr,1752,2,2,1,6,1,2,TA,WD,Normal,319900
RL,12822,1.5Fin,7,2003,2003,Gd,PConc,Ex,1434,Y,SBrkr,2149,1,1,1,6,1,2,TA,WD,Abnorml,239686
FV,11096,1Story,8,2006,2006,Gd,PConc,Gd,1656,Y,SBrkr,1656,2,3,1,7,0,3,TA,WD,Normal,249700
